nombre,region,latitud,longitud,altura,codigo_parroquia,Latitude, Longitude, Elevation, HorasDisconfort
BUENAVISTA1, , -3.4, -79.8, 24, 71256, -3.37,  -79.83,  24.00,  2151\n
BULAN_(JOSE_VICTOR_IZQUIERDO), Sierra, -2.7, -78.8, 2565, 10552, -2.72,  -78.77,  2565.00,  5199\n
CACHA_(CAB_EN_MACHANGARA), Sierra, -1.7, -78.7, 3269, 60151, -1.71,  -78.71,  3269.00,  5913\n
CAHUASQUI, Sierra, 0.5, -78.3, 2511, 100651, 0.52,  -78.26,  2511.00,  5198\n
CALACALI, Sierra, 0, -78.5, 2869, 170154, 0.05,  -78.52,  2869.00,  5393\n
CALCETA, Costa, -0.9, -80.1, 159, 130250, -0.92,  -80.06,  159.00,  2067\n
CALDERON, Costa, 1.2, -78.8, 21, 80553, 1.17,  -78.77,  21.00,  2397\n
CALDERON_(CARAPUNGO), Sierra, -0.1, -78.4, 2700, 170155, -0.09,  -78.42,  2700.00,  4934\n
CALPI, Sierra, -1.6, -78.8, 3205, 60152, -1.62,  -78.75,  3205.00,  5808\n
CALUMA, Sierra, -1.6, -79.2, 703, 20650, -1.61,  -79.22,  703.00,  3561\n
CAMARONES_(CAB_EN_SAN_VICENTE), Costa, 1, -79.5, 81, 80152, 0.96,  -79.51,  81.00,  2294\n
CAMILO_PONCE_ENRIQUEZ, Sierra, -3.1, -79.7, 1209, 11550, -3.05,  -79.65,  1209.00,  4287\n
CAMPOZANO_(LA_PALMA_DE_PAJAN), Costa, -1.6, -80.4, 167, 131051, -1.62,  -80.38,  167.00,  2297\n
CANCHAGUA, Sierra, -0.8, -78.7, 3561, 50651, -0.78,  -78.72,  3561.00,  5963\n
CANELOS, Oriente, -1.6, -77.7, 472, 160152, -1.58,  -77.72,  472.00,  3244\n
CANGAHUA, Sierra, -0.1, -78.1, 3495, 170252, -0.09,  -78.15,  3495.00,  5756\n
CANGONAMA, Sierra, -4, -79.7, 2244, 110951, -3.95,  -79.72,  2244.00,  5129\n
CANNAQUEMADA, Costa, -3.3, -79.8, 25, 70956, -3.28,  -79.81,  25.00,  2219\n
CANNAR, Sierra, -2.5, -79, 3577, 30350, -2.54,  -78.98,  3577.00,  6309\n
CANNI, Sierra, -1.8, -79, 3147, 60351, -1.80,  -78.96,  3147.00,  6032\n
CANOA, Costa, -0.4, -80.4, 102, 132251, -0.41,  -80.39,  102.00,  2012\n
CANUTO, Costa, -0.8, -80.1, 143, 130352, -0.80,  -80.06,  143.00,  2134\n
CAPIRO_(CAB_EN_LA_CAPILLA_DE_CAPIRO), Costa, -3.8, -79.8, 632, 71051, -3.79,  -79.76,  632.00,  3310\n
CAPITAN_AUGUSTO_RIVADENEYRA, Oriente, -0.6, -75.8, 219, 220251, -0.56,  -75.81,  219.00,  2698\n
CAPZOL, Sierra, -2.3, -78.9, 2360, 60551, -2.31,  -78.93,  2360.00,  5456\n
CARACOL, Costa, -1.7, -79.4, 14, 120152, -1.69,  -79.44,  14.00,  2358\n
CARCABON, Costa, -3.6, -80.2, 86, 70255, -3.63,  -80.16,  86.00,  2507\n
CARIAMANGA, Sierra, -4.3, -79.6, 1899, 110250, -4.33,  -79.57,  1899.00,  4713\n
CARLOS_JULIO_AROSEMENA_TOLA, Oriente, -1.2, -77.9, 964, 150950, -1.16,  -77.94,  964.00,  3940\n
CAROLINA, Sierra, 0.6, -78.2, 2486, 100153, 0.65,  -78.22,  2486.00,  5227\n
CARONDELET, Costa, 1.1, -78.7, 45, 80554, 1.13,  -78.74,  45.00,  2391\n
CASACAY, Costa, -3.3, -79.7, 245, 70952, -3.35,  -79.71,  245.00,  2654\n
CASANGA, Sierra, -4, -79.8, 972, 110958, -4.02,  -79.76,  972.00,  3770\n
CASCOL, Costa, -1.8, -80.5, 513, 131052, -1.77,  -80.47,  513.00,  3050\n
CATACOCHA, Sierra, -4.1, -79.6, 2216, 110950, -4.08,  -79.65,  2216.00,  4912\n
CATAMAYO_(LA_TOMA), Sierra, -4, -79.3, 1543, 110350, -3.97,  -79.35,  1543.00,  4337\n
CATARAMA, Costa, -1.6, -79.5, 11, 120650, -1.59,  -79.48,  11.00,  2457\n, -1.55,  -79.54,  11.00,  2417\n
CATARAMA, Costa, -1.6, -79.5, 11, 120650, -1.59,  -79.48,  11.00,  2457\n, -1.55,  -79.54,  11.00,  2417\n
CAYAMBE, Sierra, 0, -78.1, 3605, 170250, 0.00,  -78.07,  3605.00,  5907\n
CEBADAS, Sierra, -2, -78.6, 4021, 60651, -2.05,  -78.55,  4021.00,  6545\n
CELICA, Sierra, -4.1, -80, 1144, 110450, -4.15,  -79.95,  1144.00,  3936\n
CEVALLOS, Sierra, -1.4, -78.6, 2872, 180350, -1.35,  -78.61,  2872.00,  5467\n
CHACRAS, Costa, -3.5, -80.2, 23, 70251, -3.53,  -80.17,  23.00,  2522\n
CHAGUARPAMBA, Sierra, -3.9, -79.6, 858, 110550, -3.87,  -79.63,  858.00,  3630\n
CHAMBO, Sierra, -1.8, -78.5, 3843, 60450, -1.75,  -78.54,  3843.00,  6501\n
CHANDUY, Costa, -2.4, -80.5, 121, 240153, -2.36,  -80.52,  121.00,  2609\n
CHANGAIMINA_(LA_LIBERTAD), Sierra, -4.2, -79.5, 1638, 110751, -4.24,  -79.53,  1638.00,  4409\n
CHANTACO, Sierra, -3.9, -79.3, 2394, 110151, -3.88,  -79.32,  2394.00,  5311\n
CHAQUINAL, Sierra, -4.1, -80, 1216, 111451, -4.06,  -80.04,  1216.00,  4088\n
CHARAPOTO, Costa, -0.8, -80.4, 111, 131453, -0.79,  -80.45,  111.00,  1953\n
CHAUCHA, Sierra, -2.9, -79.4, 1984, 10153, -2.93,  -79.39,  1984.00,  5457\n
CHAVEZPAMBA, Sierra, 0.1, -78.4, 2273, 170158, 0.13,  -78.40,  2273.00,  5023\n
CHECA_(CHILPA), Sierra, -0.2, -78.3, 3231, 170159, -0.16,  -78.26,  3231.00,  5508\n
CHECA_(JIDCAY), Sierra, -2.7, -79, 3751, 10154, -2.73,  -79.03,  3751.00,  6410\n
CHIBUNGA, Costa, -0.1, -79.7, 219, 130354, -0.06,  -79.75,  219.00,  2608\n
CHICANNA, Oriente, -3.6, -78.7, 2172, 190551, -3.65,  -78.75,  2172.00,  5214\n
CHICAN_(GUILLERMO_ORTEGA), Sierra, -2.8, -78.7, 2854, 10553, -2.81,  -78.75,  2854.00,  5322\n
CHIGUAZA, Oriente, -2, -78, 967, 140751, -2.01,  -77.97,  967.00,  3964\n
CHIGUINDA, Oriente, -3.2, -78.7, 3371, 140254, -3.17,  -78.69,  3371.00,  6215\n
CHILLA, Costa, -3.4, -79.6, 1855, 70550, -3.44,  -79.63,  1855.00,  3849\n
CHILLANES, Sierra, -2, -79.1, 2314, 20250, -2.01,  -79.08,  2314.00,  6081\n
CHINCA, Costa, 0.8, -79.6, 22, 80154, 0.77,  -79.56,  22.00,  2201\n
CHIQUICHA_(CAB_EN_CHIQUICHA_GRANDE), Sierra, -1.3, -78.5, 2643, 180754, -1.25,  -78.53,  2643.00,  5333\n
CHIQUINTAD, Sierra, -2.8, -79.1, 3550, 10155, -2.77,  -79.06,  3550.00,  6402\n
CHIRIJOS, Costa, -1, -80.2, 120, 130157, -1.01,  -80.19,  120.00,  2064\n
CHITAN_DE_NAVARRETE, Sierra, 0.7, -77.8, 3207, 40552, 0.66,  -77.81,  3207.00,  5816\n
CHITO, Oriente, -4.9, -79, 1450, 190251, -4.87,  -79.01,  1450.00,  4554\n
CHOBO, Costa, -2.1, -79.6, 10, 91051, -2.14,  -79.64,  10.00,  2517\n, -2.10,  -79.58,  10.00,  2471\n
